London,7172091,
Birmingham,970892,
Glasgow,629501,
Liverpool,469017,
Leeds,443247,
Sheffield,439866,
Edinburgh,430082,
Bristol,420556,
Manchester,394269,
Leicester,330574,
Coventry,303475,
Kingston upon Hull,301416,
Bradford,293717,
Cardiff,292150,
Belfast,276459,
Stoke-on-Trent,259252,
Wolverhampton,251462,
Nottingham,249584,
Plymouth,243795,
Southampton,234224,
Reading,232662,
Derby,229407,
Dudley,194919,
Newcastle upon Tyne,189863,
Northampton,189474,
